Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
Q9BZG1;Q9BZG1-4;Q9BZG1-2,0.036010735,0.036649084,0.060144812,0.100076101,0.121674671,0.038029532,0.034951761,0.050853236,0.093063976,0.109347234,0.030114826,0.03804282,0.054446183,0.0888935,0.107701531,unknown
Q15286;Q15286-2,0.034333435,0.037161719,0.04947161,0.084704412,0.145096118,0.033252208,0.032043281,0.042265747,0.077171597,0.126423086,0.034271324,0.040680676,0.046243332,0.080217517,0.136663937,unknown
Q15042;Q15042-3;Q15042-4,0.099790574,0.109260617,0.067710805,0.04451216,0.036889762,0.100579744,0.083878929,0.060915063,0.038138624,0.030558644,0.072422151,0.102335648,0.063538067,0.048923621,0.040545593,unknown
Q9H2M9,0.102152805,0.093570256,0.063891581,0.04578259,0.036382744,0.10684435,0.088160086,0.054471256,0.039556984,0.031266726,0.079517962,0.093132751,0.071495793,0.04969128,0.044082836,unknown
P20339;P20339-2,0.063366067,0.044142749,0.058188318,0.078873789,0.112940511,0.060361912,0.041321854,0.049207924,0.083416018,0.089803938,0.055022502,0.043251975,0.047608981,0.075267494,0.097225967,unknown
P61020;P61020-2,0.061893449,0.044571832,0.05471279,0.08327145,0.094454058,0.057727525,0.040249324,0.051845903,0.081107508,0.097511803,0.053091178,0.044219015,0.052450732,0.084622234,0.098271198,unknown
P51148;P51148-2,0.057530151,0.041220928,0.057835208,0.093440753,0.102372257,0.055775587,0.042008507,0.05354433,0.082728131,0.093686871,0.047415337,0.043309695,0.054550177,0.081108931,0.093473137,unknown
P20340-2;P20340-4,0.03271568,0.037161284,0.048105346,0.06717513,0.149727409,0.029578144,0.034572588,0.045053989,0.072201349,0.144224566,0.030848661,0.036426609,0.047242608,0.072398739,0.152567897,unknown
P51149,0.056192212,0.032625458,0.042700772,0.08569246,0.128692641,0.056170977,0.03127228,0.037923505,0.076009456,0.119285687,0.05043178,0.034151168,0.0439,0.08016614,0.124785464,unknown
P61006;P61006-2,0.03762749,0.034961399,0.055104486,0.098989562,0.12558134,0.036166794,0.034323887,0.047078065,0.085770213,0.112979257,0.0326869,0.036146054,0.052274943,0.085681327,0.124628283,unknown
P63000-2;P63000;P60763,0.028578501,0.03308771,0.045914246,0.082988058,0.185170295,0.028214404,0.028507127,0.038015225,0.07437349,0.14387277,0.027558938,0.036313995,0.040289706,0.066608182,0.140507352,unknown
Q9H0H5,0.00947114,0.077947618,0.093708499,0.068878304,0.061416294,0.009613938,0.079813951,0.102093713,0.074557003,0.070897397,0.007652296,0.087176335,0.104976234,0.0762108,0.075586475,unknown
P54727,0.074460918,0.086318025,0.047463951,0.048694983,0.081576407,0.071108346,0.067641857,0.050618088,0.049039182,0.060609661,0.054574541,0.083378247,0.079269906,0.054508396,0.090737492,unknown
P78406,0.07780394,0.056755964,0.059020954,0.069999563,0.075102316,0.083686849,0.050271362,0.054261018,0.059303108,0.073896108,0.066303346,0.060581265,0.0676203,0.071420208,0.0739737,unknown
P11233,0.031678449,0.035845966,0.048791952,0.091402418,0.082718904,0.03004667,0.031632396,0.044787755,0.079951004,0.15565283,0.033934548,0.039114747,0.046964568,0.081812096,0.165665697,unknown
Q9UKM9;Q9UKM9-2,0.082208761,0.14391631,0.038811694,0.021509282,0.019413281,0.095934294,0.149149939,0.036676611,0.022632473,0.017261631,0.111031955,0.163920498,0.047400029,0.027252255,0.022880985,unknown
P62826,0.076743618,0.064572213,0.041595074,0.051966796,0.099444567,0.073168435,0.063305816,0.043492759,0.05155824,0.095050999,0.070950014,0.06990635,0.044704427,0.05081113,0.102729561,unknown
P43487;P43487-2,0.088398588,0.089366391,0.042493485,0.049484648,0.07818436,0.074933307,0.076991178,0.045430776,0.045421937,0.073725394,0.081965716,0.088962771,0.046240961,0.043723494,0.074676994,unknown
P46060,0.041761436,0.029454559,0.043701062,0.07715548,0.119560704,0.040291572,0.029897886,0.043992391,0.081726432,0.128680581,0.033089843,0.030349474,0.049756748,0.102064418,0.148517414,unknown
P61224;P61224-3;A6NIZ1;P61224-4;P61224-2,0.03184872,0.032450172,0.048138914,0.085236793,0.146101354,0.031974838,0.028696675,0.040177531,0.074478044,0.139394778,0.029266711,0.034367442,0.04463128,0.078848928,0.154387821,unknown
Q9Y3L5,0.02906203,0.033878049,0.045476243,0.082541311,0.161347279,0.027299942,0.027070586,0.037101889,0.073792979,0.141907527,0.028529233,0.035345568,0.043467942,0.07585141,0.157328015,unknown
Q70E73;Q70E73-5;Q70E73-2;Q70E73-8;Q70E73-7;Q70E73-4;Q70E73-3;Q70E73-9;Q70E73-6,0.123939812,0.095517215,0.046586853,0.039209875,0.036923307,0.115041886,0.101540638,0.046820792,0.03557524,0.037796635,0.095366287,0.099942167,0.048686818,0.038023714,0.039028761,unknown
Q8IY67-2;Q8IY67,0.113054519,0.112356814,0.049547578,0.028914602,0.032611779,0.1179582,0.106156456,0.045579875,0.026983407,0.02786607,0.099594081,0.121025468,0.048959794,0.033088983,0.036302375,unknown
Q16576;Q16576-2,0.064497579,0.091148794,0.045383446,0.04697251,0.077846598,0.070637279,0.083122994,0.046640358,0.045542938,0.076039513,0.054164271,0.107825191,0.052349869,0.053159034,0.084669625,unknown
Q9NTZ6,0.121841774,0.123738276,0.06292576,0.034707676,0.032556332,0.090049969,0.106263367,0.053631208,0.029736132,0.024223577,0.079678475,0.120520996,0.050389376,0.037492317,0.032244764,unknown
Q96PK6,0.094989375,0.10607725,0.039234059,0.024884312,0.02817599,0.109594371,0.116802032,0.039034087,0.029897158,0.028387885,0.105399838,0.156102748,0.052726474,0.034193574,0.034500848,unknown
Q9NW64;Q9NW64-2,0.160641622,0.129019415,0.044452617,0.028896597,0.0285025,0.103801278,0.090770445,0.044829843,0.031392092,0.029403389,0.081599601,0.105528825,0.0490954,0.038114679,0.033951696,unknown
Q9NW13;Q9NW13-2,0.114068216,0.138499428,0.04070455,0.026539477,0.019836428,0.123551708,0.105866943,0.039498277,0.026902937,0.019210113,0.11805296,0.136142117,0.042467109,0.027174176,0.02148556,unknown
P98179,0.146796523,0.111545841,0.03568463,0.024654835,0.024800266,0.139393598,0.097171595,0.032511412,0.021663641,0.023257287,0.143212344,0.11273744,0.035833345,0.025897569,0.024839674,unknown
Q14498;Q14498-2;Q14498-3,0.1249548,0.109858855,0.042728695,0.029201294,0.027852748,0.102760601,0.081070815,0.040985734,0.026084261,0.023308163,0.144566159,0.134222641,0.047028366,0.035512542,0.029864325,unknown
Q9BWF3;Q9BWF3-4;Q9BWF3-3;Q9BWF3-2,0.140283968,0.123092937,0.040113224,0.026971077,0.026715144,0.111051237,0.106214917,0.035740282,0.026222306,0.026004426,0.118146143,0.118532803,0.042611171,0.028841775,0.02945859,unknown
A0AV96;A0AV96-2,0.142866232,0.093785306,0.034945147,0.02500685,0.02461178,0.151937429,0.102594835,0.035081112,0.026914469,0.025851887,0.141994001,0.102599965,0.038135972,0.026530688,0.027144327,unknown
Q15434,0.165996675,0.08827172,0.041206572,0.029151702,0.029847623,0.128997183,0.093924343,0.036828972,0.026855774,0.028443048,0.136271959,0.092457208,0.041952873,0.027339652,0.032454695,unknown
